date               GDNS@XF            Product@JY             Product@XF              WsLog-HZ               WsLog-JX
4/11                   41.0                   12.0                   20.0                  25.0                    5.0
4/12                   41.0                   17.0                   20.0                  24.0                    5.0
4/13                   42.0                   17.0                   20.0                  28.0                    4.0
4/14                   42.0                   16.0                   20.0                  37.0                    5.0
4/15                   42.0                   10.0                   20.0                  35.0                   10.0
4/16                   42.0                   16.0                   20.0                  34.0                    9.0
4/17                   43.0                   16.0                   21.0                  31.0                    7.0
4/18                   43.0                   14.0                   22.0                  31.0                    7.0
4/19                   43.0                   15.0                   18.0                  30.0                    9.0
4/20                   43.0                   16.0                   18.0                  24.0                    9.0
4/21                   43.0                   15.0                   18.0                  24.0                    9.0
4/22                   44.0                   12.0                   18.0                  27.0                    8.0
4/23                   44.0                   13.0                   19.0                  27.0                    7.0
4/24                   44.0                   19.0                   19.0                  22.0                    7.0
