2017042400-05        29874        25012        58241
2017042406-11        40414        27659        60303
2017042412-17        47041        33280        64966
2017042418-23        48629        37153        67314
2017042500-05        30371        21756        57668
2017042506-11        41490        28641        63312
2017042512-17        47680        28254        68964
2017042518-23        49311        28483        74177
2017042600-05        30490        15714        65304
2017042606-11        41471        1        92842
2017042612-17        47690        24789        67865
2017042618-23        49200        29515        72252
2017042700-05        30389        17806        62269
2017042706-11        41129        14042        68398
2017042712-17        46726        24965        67850
2017042718-23        48282        24007        69333
2017042800-05        30549        17349        56631
2017042806-11        40863        0        114991
2017042812-17        47049        11854        72222
2017042818-23        48262        33833        63972
2017042900-05        31602        16438        66512
2017042906-11        41463        13564        68991
2017042912-17        45943        14017        77462
2017042918-23        46734        20031        76887
2017043000-05        31234        10406        57840
2017043006-11        40467        11454        65859
2017043012-17        45150        8628        81172
2017043018-23        46199        20089        68919
2017050100-05        31145        19958        59701
2017050106-11        40462        17451        50307
2017050112-17        45233        27160        60737
2017050118-23        45613        26708        63834
2017050200-05        29470        15080        52966
2017050206-11        40178        19499        57104
2017050212-17        46098        29922        58598
2017050218-23        47286        41037        56769
2017050300-05        30164        25207        54916
2017050306-11        40918        161        88656
2017050312-17        48869        0        125169
2017050318-23        51378        34351        66333
2017050400-05        30303        19925        63294
2017050406-11        43345        24201        64679
2017050412-17        50133        33713        64528
2017050418-23        50792        32612        75449
2017050500-05        30961        21208        59432
2017050506-11        42422        97        91091
2017050512-17        49597        33223        67456
2017050518-23        51765        30786        71669
2017050600-05        31637        22622        65875
2017050606-11        42848        26633        66049
2017050612-17        48909        32463        66030
2017050618-23        49619        32579        72974
2017050700-05        31585        20177        65376
2017050706-11        41399        24554        60361
2017050712-17        47385        32735        64027
2017050718-23        47760        33630        67214
