2017050100-05        44511        54        177090
2017050106-11        43934        92        236495
2017050112-17        41328        137        196108
2017050118-23        48727        56        243869
2017050200-05        49664        74        227144
2017050206-11        41938        383        219334
2017050212-17        40989        51        178144
2017050218-23        34795        37        279071
2017050300-05        48122        54        186656
2017050306-11        44382        196        294287
2017050312-17        34584        0        235424
2017050318-23        41946        59        225945
2017050400-05        47654        85        237603
2017050406-11        42511        29        192873
2017050412-17        44710        72        245257
2017050418-23        44556        52        242040
2017050500-05        41610        30        208956
2017050506-11        42485        55        192329
2017050512-17        49351        92        219318
2017050518-23        49420        36        182810
2017050600-05        42451        89        199348
2017050606-11        49018        28        229111
2017050612-17        40798        69        173596
2017050618-23        40961        62        204105
2017050700-05        54568        100        229516
2017050706-11        45511        36        228597
2017050712-17        35685        34        208408
2017050718-23        51754        96        215750
2017050800-05        44267        36        201108
2017050806-11        36847        83        229910
2017050812-17        41689        43        233295
2017050818-23        47498        81        227187
2017050900-05        50477        230        197049
2017050906-11        43639        77        262170
2017050912-17        44446        273        207809
2017050918-23        50311        472        164998
2017051000-05        49188        292        183346
2017051006-11        41166        340        197879
2017051012-17        44123        220        174433
2017051018-23        6967        1        199968
2017051100-05        9373        1        130682
2017051106-11        13611        358        82078
2017051112-17        3942        1019        22500
2017051118-23        2985        3        22478
2017051200-05        3656        8        22385
2017051206-11        3387        4        20045
2017051212-17        3668        4        20963
2017051218-23        3639        3        32869
2017051300-05        3883        4        29683
2017051306-11        1442        0        20044
2017051312-17        5445        0        63433
2017051318-23        5654        9        40164
2017051400-05        5804        11        45768
2017051406-11        5807        7        47487
2017051412-17        5681        7        47906
2017051418-23        5583        5        43202
