date                Max@XF                Max@JY
4/3               209012.0                55998.0
4/3               234192.0                54724.0
4/3               274554.0                59057.0
4/3               225259.0                61893.0
4/4               187859.0                56901.0
4/4               203149.0                55876.0
4/4               227807.0                57898.0
4/4               206855.0                62203.0
4/5               212010.0                56490.0
4/5               182975.0                56722.0
4/5               240603.0                66287.0
4/5               198564.0                70789.0
4/6               173708.0                54129.0
4/6               257155.0                59010.0
4/6               279496.0               136595.0
4/6               183963.0                65168.0
4/7               198477.0                64251.0
4/7               271969.0                83124.0
4/7               249420.0                64861.0
4/7               167432.0                71565.0
4/8               260868.0                70547.0
4/8               192613.0                61555.0
4/8               184854.0                64221.0
4/8               258058.0                68285.0
4/9               205131.0                65581.0
4/9               217410.0                60406.0
4/9               191661.0                65194.0
4/9               211723.0                66507.0
4/10               260561.0                58241.0
4/10               190860.0                60303.0
4/10               260021.0                64966.0
4/10               188250.0                67314.0
4/11               179872.0                57668.0
4/11               199903.0                63312.0
4/11               224354.0                68964.0
4/11               191549.0                74177.0
4/12               229988.0                65304.0
4/12               239487.0                92842.0
4/12               207676.0                67865.0
4/12               228291.0                72252.0
4/13               250677.0                62269.0
4/13               197280.0                68398.0
4/13               260571.0                67850.0
4/13               249942.0                69333.0
4/14               253310.0                56631.0
4/14               261017.0               114991.0
4/14               260643.0                72222.0
4/14               243379.0                63972.0
4/15               203530.0                66512.0
4/15               192683.0                68991.0
4/15               186103.0                77462.0
4/15               270490.0                76887.0
4/16               212948.0                57840.0
4/16               272351.0                65859.0
4/16               243379.0                81172.0
4/16               270573.0                68919.0
