date               GDNS@XF            Product@JY             Product@XF              WsLog-HZ
7/27                   23.0                   18.0                   50.0                  24.0
7/28                   24.0                   18.0                   49.0                  32.0
7/29                   24.0                   18.0                   48.0                  33.0
8/1                   24.0                   18.0                   49.0                  32.0
8/2                   25.0                   18.0                   49.0                  32.0
8/3                   25.0                   18.0                   47.0                  29.0
8/4                   25.0                   18.0                   47.0                  32.0
8/5                   26.0                   18.0                   47.0                  32.0
8/6                   26.0                   18.0                   48.0                  32.0
8/7                   26.0                   18.0                   47.0                  33.0
8/8                   26.0                   18.0                   47.0                  29.0
8/9                   27.0                   18.0                   48.0                  31.0
8/10                   27.0                   18.0                   47.0                  32.0
8/11                   27.0                   18.0                   47.0                  33.0
