date                Max@XF                Max@JY
4/17               177090.0                58241.0
4/17               236495.0                60303.0
4/17               196108.0                64966.0
4/17               243869.0                67314.0
4/18               227144.0                57668.0
4/18               219334.0                63312.0
4/18               178144.0                68964.0
4/18               279071.0                74177.0
4/19               186656.0                65304.0
4/19               294287.0                92842.0
4/19               235424.0                67865.0
4/19               225945.0                72252.0
4/20               237603.0                62269.0
4/20               192873.0                68398.0
4/20               245257.0                67850.0
4/20               242040.0                69333.0
4/21               208956.0                56631.0
4/21               192329.0               114991.0
4/21               219318.0                72222.0
4/21               182810.0                63972.0
4/22               199348.0                66512.0
4/22               229111.0                68991.0
4/22               173596.0                77462.0
4/22               204105.0                76887.0
4/23               229516.0                57840.0
4/23               228597.0                65859.0
4/23               208408.0                81172.0
4/23               215750.0                68919.0
4/24               201108.0                59701.0
4/24               229910.0                50307.0
4/24               233295.0                60737.0
4/24               227187.0                63834.0
4/25               197049.0                52966.0
4/25               262170.0                57104.0
4/25               207809.0                58598.0
4/25               164998.0                56769.0
4/26               183346.0                54916.0
4/26               197879.0                88656.0
4/26               174433.0               125169.0
4/26               199968.0                66333.0
4/27               130682.0                63294.0
4/27                82078.0                64679.0
4/27                22500.0                64528.0
4/27                22478.0                75449.0
4/28                22385.0                59432.0
4/28                20045.0                91091.0
4/28                20963.0                67456.0
4/28                32869.0                71669.0
4/29                29683.0                65875.0
4/29                20044.0                66049.0
4/29                63433.0                66030.0
4/29                40164.0                72974.0
4/30                45768.0                65376.0
4/30                47487.0                60361.0
4/30                47906.0                64027.0
4/30                43202.0                67214.0
