date   Product@XFDX    GDNS@XFDX   Product@JYDX    7daylog@HZDX
8/10      686.206       154.938       698.659       993.835
8/10      693.423        181.93        1033.1       1336.26
8/10      689.639       168.984       753.904       876.335
8/10      726.056       155.161       729.333        942.82
8/11      690.334        155.07       679.322       990.815
8/11      690.056        181.51       691.774       2602.75
8/11       672.85       170.514       701.615       1192.25
8/11      660.361       155.031       693.486       1894.17
8/12      673.982       154.985       726.531       890.796
8/12      785.594       182.217       700.736       1180.75
8/12      700.258       169.633       695.733       811.325
8/12      736.705       155.497       691.755       730.219
8/13      739.663       155.169       690.394       760.792
8/13      732.664       181.662       712.915       1082.57
8/13      695.309       174.289       749.237        569.38
8/13      732.882       155.202       1781.22        631.78
8/14      754.997       155.096       1270.12       648.385
8/14      697.405       182.355         722.7        1005.2
8/14      668.285       172.139       714.863       1983.98
8/14      698.757       155.156       788.243       1665.79
8/15      708.306       155.012       1775.57       672.416
8/15      672.725       181.541       719.276       956.017
8/15      678.038       175.631       684.336       336.467
8/15      1575.87       155.351       684.914       364.382
8/16      1099.86       155.208       691.839       409.185
8/16      660.848       182.226       683.892       830.133
8/16      775.241       172.413       708.449       2880.53
8/16      631.572       155.097       714.177       1012.62
8/17      653.658       155.129       709.197       363.731
8/17      811.515       182.236       691.228       901.577
8/17      663.737       170.342       670.606       1863.11
8/17      684.307       155.111       681.966       1475.15
8/18      927.115       154.986       715.025       537.845
8/18      663.454       176.198       671.097       849.071
8/18      674.524       183.555       721.428       339.535
8/18      711.397       155.533       699.911       404.422
8/19      701.541       155.418       1163.85        744.66
8/19      694.019       176.489       707.759       1106.29
8/19      675.109       187.194       818.633        910.46
8/19      1047.98       155.694       823.519       830.643
8/20      1084.16       155.415       858.414        779.31
8/20      1907.02       176.154       848.343        1319.7
8/20      659.921       188.551       831.899       2550.96
8/20      897.425       155.768       856.518       1505.14
8/21      704.573       155.896       855.884       702.582
8/21      658.911       176.222        842.51       824.715
8/21      655.141       188.595       825.424       872.326
8/21      673.175       155.765       855.737         541.6
8/22      802.545       155.665       884.535       684.734
8/22      676.911       182.967       883.846       1269.38
8/22       664.69        181.77       857.794       1816.21
8/22      662.859       155.688       863.511        502.15
8/23      670.178       155.525       865.019        585.12
8/23      669.339       182.331       1110.04       2188.04
8/23      652.457       177.032       849.353       825.607
8/23      773.768       155.631       865.116       471.303
