date     Product@XFHbase-G     Product@XFHbase-C      Product@JYHbase-G     Product@JYHbase-C     Product@SQHbase-G     Product@SQHbase-C  Product@SQHbase-TSDB
7/10                 7728.0                 6780.0                 7518.0                5369.0                1567.0                 2003.0                 795.0
7/11                 7747.0                 6796.0                 7520.0                5379.0                1568.0                 2013.0                 802.0
7/12                 7773.0                 6826.0                 7520.0                5388.0                1572.0                 2020.0                 805.0
7/13                 7500.0                 6901.0                 7521.0                5443.0                1572.0                 2051.0                 807.0
7/14                 5163.0                 6911.0                 7512.0                5468.0                1572.0                 2087.0                 807.0
7/15                 4689.0                 6966.0                 7527.0                5497.0                1572.0                 2109.0                 807.0
7/16                 4704.0                 6972.0                 7542.0                5502.0                1572.0                 2124.0                 807.0
7/17                 4723.0                 7266.0                 7560.0                5520.0                1589.0                 2087.0                 807.0
7/18                 4729.0                 7281.0                 7578.0                5538.0                1591.0                 2104.0                 807.0
7/19                 4741.0                 7302.0                 7590.0                5555.0                1591.0                 2112.0                 807.0
7/20                 4751.0                 7317.0                 7615.0                5566.0                1591.0                 2140.0                 807.0
7/21                 4760.0                 7339.0                 7636.0                5582.0                1591.0                 2156.0                 807.0
7/22                 4773.0                 7348.0                 7658.0                5596.0                1591.0                 2170.0                 807.0
7/23                 4779.0                 7365.0                 7687.0                5607.0                1591.0                 2184.0                 807.0
