date         AVG@XFHbase-G         AVG@XFHbase-C          AVG@JYHbase-G         AVG@JYHbase-C        AVG@SQHbase-G         AVG@SQHbase-C      AVG@SQHbase-TSDB
7/10                    429                    339                    375                   335                    78                    100                    39
7/11                    430                    339                    376                   336                    78                    100                    40
7/12                    431                    341                    376                   336                    78                    101                    40
7/13                    416                    345                    376                   340                    78                    102                    40
7/14                    286                    345                    375                   341                    78                    104                    40
7/15                    260                    348                    376                   343                    78                    105                    40
7/16                    261                    348                    377                   343                    78                    106                    40
7/17                    262                    363                    378                   345                    79                    104                    40
7/18                    262                    364                    378                   346                    79                    105                    40
7/19                    263                    365                    379                   347                    79                    105                    40
7/20                    263                    365                    380                   347                    79                    107                    40
7/21                    264                    366                    381                   348                    79                    107                    40
7/22                    265                    367                    382                   349                    79                    108                    40
7/23                    265                    368                    384                   350                    79                    109                    40
avg                   311                    354                    378                   343                    354                    378                   343  
avg_increment        0.380952380952         0.589285714286          1.00793650794        0.776785714286        0.015037593985         0.769841269841                   0.0 
